data_id,num_item_id,age,comprehension,production,language,form,birth_order,ethnicity,sex,zygosity,norming,mom_ed,longitudinal,source_name,license,item_id,definition,type,category,lexical_category,lexical_class,word,complexity_category,produces
129242,165,27,497,497,English (American),WS,Fourth,Hispanic,Female,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129243,165,21,369,369,English (American),WS,Second,White,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129244,165,26,190,190,English (American),WS,Fourth,White,Female,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129245,165,27,264,264,English (American),WS,Second,White,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129246,165,19,159,159,English (American),WS,Second,Other,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129247,165,30,513,513,English (American),WS,Second,Other,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129248,165,25,444,444,English (American),WS,Second,Other,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129249,165,24,582,582,English (American),WS,Second,White,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129250,165,28,558,558,English (American),WS,Second,Black,Female,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129251,165,18,7,7,English (American),WS,Fourth,Other,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129252,165,29,526,526,English (American),WS,Second,Other,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129253,165,26,190,190,English (American),WS,Fifth,Other,Female,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
