age,sound,kids_produce,kids_understand,kids_respond,prop_produce,prop_understand
16,hat,311,311,956,0.3253138075313807,0.3253138075313807
16,mittens,25,25,956,0.02615062761506276,0.02615062761506276
16,scarf,3,3,956,0.0031380753138075313,0.0031380753138075313
17,hat,102,102,273,0.37362637362637363,0.37362637362637363
17,mittens,6,6,273,0.02197802197802198,0.02197802197802198
17,scarf,1,1,273,0.003663003663003663,0.003663003663003663
18,hat,240,240,442,0.5429864253393665,0.5429864253393665
18,mittens,46,46,442,0.10407239819004525,0.10407239819004525
18,scarf,12,12,442,0.027149321266968326,0.027149321266968326
19,hat,204,204,328,0.6219512195121951,0.6219512195121951
19,mittens,36,36,327,0.11009174311926606,0.11009174311926606
19,scarf,14,14,327,0.04281345565749235,0.04281345565749235
20,hat,185,185,274,0.6751824817518248,0.6751824817518248
20,mittens,45,45,273,0.16483516483516483,0.16483516483516483
20,scarf,19,19,273,0.0695970695970696,0.0695970695970696
21,hat,140,140,203,0.6896551724137931,0.6896551724137931
21,mittens,41,41,203,0.2019704433497537,0.2019704433497537
21,scarf,19,19,203,0.09359605911330049,0.09359605911330049
22,hat,157,157,200,0.785,0.785
22,mittens,44,44,200,0.22,0.22
22,scarf,26,26,200,0.13,0.13
23,hat,224,224,262,0.8549618320610687,0.8549618320610687
23,mittens,69,69,262,0.2633587786259542,0.2633587786259542
23,scarf,31,31,262,0.1183206106870229,0.1183206106870229
24,hat,499,499,583,0.855917667238422,0.855917667238422
24,mittens,207,207,580,0.3568965517241379,0.3568965517241379
24,scarf,90,90,575,0.1565217391304348,0.1565217391304348
25,hat,288,288,331,0.8700906344410876,0.8700906344410876
25,mittens,123,123,327,0.3761467889908257,0.3761467889908257
25,scarf,57,57,327,0.1743119266055046,0.1743119266055046
26,hat,167,167,181,0.9226519337016574,0.9226519337016574
26,mittens,75,75,181,0.4143646408839779,0.4143646408839779
26,scarf,38,38,181,0.20994475138121546,0.20994475138121546
27,hat,174,174,195,0.8923076923076924,0.8923076923076924
27,mittens,97,97,195,0.49743589743589745,0.49743589743589745
27,scarf,41,41,194,0.211340206185567,0.211340206185567
28,hat,766,766,797,0.9611041405269761,0.9611041405269761
28,mittens,435,435,797,0.5457967377666249,0.5457967377666249
28,scarf,278,278,797,0.34880803011292344,0.34880803011292344
29,hat,184,184,198,0.9292929292929293,0.9292929292929293
29,mittens,109,109,198,0.5505050505050505,0.5505050505050505
29,scarf,66,66,198,0.3333333333333333,0.3333333333333333
30,hat,280,280,295,0.9491525423728814,0.9491525423728814
30,mittens,187,187,295,0.6338983050847458,0.6338983050847458
30,scarf,125,125,295,0.423728813559322,0.423728813559322
